,user_name,user_description,user_location,user_verification,date,text,hashtags,source,retweets
263,MomijiMatsuo,"FFXIV：2021/11~　PSO2：2014/6-2022/4【日本語/English/ไทย】 
日本語が少しわかります！よろしくです！！
アイコン　@ship460700833
ヘッダー　@mueirasenkyaku　@RateNytingel
ARCHERのファイル　https://t.co/Ti7hcuRfF5",FFXIV：Mana - Anima　PSO2：Ship 4,False,2022-06-23 08:36:44,@FufusiF Certain cat and popoto in their natural habitat😆,,Twitter for Android,0
264,🐝MERRY🍯 seeing Stray Kids 🔥💖,"Fan Profile, ✨Monsta X, 🐝Joobebe, Social Media manager, mom, dice goblin
pan / they/him ✌
28",,False,2022-06-23 05:59:39,@popoto_root Sir I- https://t.co/ADFo3CVP0B,,Twitter for Android,0
265,Captain_Ransack,Gaming for thousands of years does something to you. 😐,,False,2022-06-23 04:53:30,@popoto_root 😬 I'll shut up now,,Twitter for Android,0
266,Silver-Senpai @ Sotenbori,22-Pans-Forensic Psych student. FFXIV-Ninomae Haywood-Aether-Faerie. Reaper main. Likes might be nsfw.,Puerto Rico,False,2022-06-23 04:41:09,"@popoto_root When he whipped out the cute rocks, gem and cards he had in his pocket i almost broke down. That was the absolute cutest thing I've ever seen and made me fall in love with him",,Twitter for Android,0
267,🌱The heart of a warrior knows no size!!,26🇵🇭🇺🇸My FFXIV art & screens! | WHM/PLD/BRD/DRG | MSQ: Shadowbringers | (sometimes NSFW🔞) | Coms: https://t.co/5gWRVXZL3Z | art main: @zaku_art,,False,2022-06-23 04:40:17,@anipzis_ffxiv Aaaa thank you!! 💕,,Twitter for Android,0
268,Anii~ 🌱,Your little lala-friend! 🙆‍♂️🥔💞  | FFXIV account of @anipzis 🗡 | DC Ragnarok - Chaos | Dragon hatchling of SoTD 🐉,,False,2022-06-23 03:30:13,@popoto_root Looks amazing!! ❣️,,Twitter Web App,0
269,🌱The heart of a warrior knows no size!!,26🇵🇭🇺🇸My FFXIV art & screens! | WHM/PLD/BRD/DRG | MSQ: Shadowbringers | (sometimes NSFW🔞) | Coms: https://t.co/5gWRVXZL3Z | art main: @zaku_art,,False,2022-06-23 03:25:43,Construct 7...in which I don't fail at the math...but actually the AOE's I have to dodge right before he starts spinning 😭,,Twitter Web App,0
270,🌱The heart of a warrior knows no size!!,26🇵🇭🇺🇸My FFXIV art & screens! | WHM/PLD/BRD/DRG | MSQ: Shadowbringers | (sometimes NSFW🔞) | Coms: https://t.co/5gWRVXZL3Z | art main: @zaku_art,,False,2022-06-23 03:22:38,"@CaptainRansack I've yet to finish the delta series raids, but I'm excited to see Alpha makes his return in the future!",,Twitter Web App,0
271,Paveway IV,"My pet monkey likes SNAX!

My 2014 account was vaporized for incorrect thinking, I guess (sigh...) but I'm the same idiot.",NSA/CSS MSP Special Situation,False,2022-06-22 00:39:27,"Nothing interesting at #ThreeGorgesDam lately. Seasonal monsoon flooding started in southern provinces of  Guangdong, Guangxi, and Hainan, but don't affect upper Yangtze watershed and #3GD. 10-day Windy ECMWF rain accumulation forecast + adorable(!) baby finless Yangtze porpoise. https://t.co/mKtei5FTYf","[{'text': 'ThreeGorgesDam', 'indices': [23, 38]}]",Twitter Web App,2
272,SAFE Worldwide,"Protecting endangered species and the environment through education, community programs, and partnerships with global wildlife conservation organizations.","California, USA",False,2022-06-20 15:00:09,"This is the Yantse Finless Porpoise. They are a freshwater species which can only be found in Yangtze River. They are relatively small in the cetaceans family, but can still weigh up to 158 lb, which make them the top predators in the river ecosystem. #yangtzefinlessporpoises https://t.co/s4SMy9yskJ",,Constant Contact - Social Posts,0
273,Protecting Wildlife,"Giving a voice to endangered species.  Together we can protect the environment and promote peace!  

#supportthewwf #savetheanimals    🐆🐼🐘🐯🦏🦍🐗",,False,2022-06-17 12:36:22,"Whoa! take a look at the Yangtze Finless Porpoise! They're known to have a level of intelligence comparable to that of a gorilla. These vulnerable creatures seriously need humans to act now. 
Let's save the animals! 🐅🦏🐋🦍🐆 https://t.co/EQLOv6BiVh",,"Cheap Bots, Done Quick!",0
274,Linda Wong,Member @IUCN #CEESP; #Biodiversity #Conservation in our Neighborhoods; #wildlife #IWT #post2020 #OCEMs #ForNature #ethics #Earth4All #BBNJ  tweets own,,False,2022-06-14 05:30:35,"Poor animal! A dead Yangtze Finless Porpoise was spotted in #Poyang Lake today. Not sure the cause of the death yet. Obvious wound under its neck. 

According to a 2018 report by Agricultural Ministry #China, the population of the criticaly endangered species was estimated 1,012 https://t.co/cc93ubyVt8","[{'text': 'Poyang', 'indices': [60, 67]}]",Twitter for iPhone,2
275,The Unahugger,Hardworking neighborly American churchgoer,,False,2022-06-14 01:15:55,@tonyhawktruther A Yangtze finless porpoise. Here’s another one https://t.co/XaqsLiysj6,,Twitter for iPhone,0
276,Nature and animals🌿😽🐶🐒🐰🐼🐥🐿️,Animals from China. The video comes from 抖音 and the copyright belongs to the author.,,False,2022-06-14 01:12:23,Yangtze finless porpoise. https://t.co/LMuIkbPNwB,,Twitter for Android,3
277,Diana Fisher,"Mammal ecologist, conservation scientist Uni of Qld. Melanesian & Australian nature, gardens. IUCN Marsupial & Monotreme Species Specialist Grp cochair @OzMMSSG","Brisbane, Queensland",False,2022-06-23 05:08:40,"The Critically Endangered #Sulawesi endemic marsupial the Talaud bear cuscus is in big trouble. @sherzade_o, Progres-Indonesia with support from IUCN @OzMMSSG are increasing this species' chance of survival through community projects @IUCN_ASAP @aciucn    https://t.co/By4RDcADfx","[{'text': 'Sulawesi', 'indices': [26, 35]}]",Twitter Web App,1
278,ASAP,"- Alliance of more than 150 Partners
- Working to save Critically Endangered species in Southeast Asia
- Part of @IUCN Species Survival Commission",Singapore,False,2022-06-23 03:23:38,"ASAP is proud to support PROGRES' efforts to conserve the #CriticallyEndangered Talaud Bear Cuscus by working with the local communities by instilling a sense of pride for the species. 

Read the @mongabay article on this ""Cinderella species” 👇 #Ailuropsmelanotis @SheraGoesBoing https://t.co/qb6DdsVBks","[{'text': 'CriticallyEndangered', 'indices': [58, 79]}]",Twitter Web App,0
279,Sheherazade (she/her),"Co-Executive Director PROGRES, conserving overlooked species in Sulawesi| Gator @UFWildlife alumni| Starting PhD @ESPM_Berkeley funded by @FulbrightID",Indonesia,False,2022-06-23 02:02:14,"Find out our journey to save Talaud Cuscus with the local community on Salibabu here: https://t.co/H3uRRASgnA. 

We are also grateful for the support from BKSDA and Dishut Sulawesi Utara, @IUCN_ASAP, @SArtenschutz, and IUCN EDGE Internal Grant with Prof. Diana Fisher",,Twitter Web App,1
280,Live kindly Ⓥ🌱,No such breed as pitbull! They're loving  Staffordshire Terriers! https://t.co/lQKufnUr2J Don't eat animals for the same reason you don't eat your dog,"California, USA",False,2022-06-23 01:40:02,"To win island-wide conservation, Indonesia’s Talaud bear cuscus needs to win hearts

https://t.co/wfOsRS0dwV",,Twitter for Android,0
281,Mongabay,"We're an award-winning, 23-yr old nonprofit media outlet providing daily news & inspiration from nature's frontline in 10 languages via 5 international bureaus",Global,True,2022-06-22 23:15:05,"In northern Indonesia dwells a shy and overlooked species: the Talaud bear cuscus. Critically endangered and found on only a few small islands, the marsupial faces a decline due to hunting and habitat loss, @Sean_Mow reports. https://t.co/aFX3ZfeuOy",,Echobox,5
282,Mawar Aurelia,"For more updates on stories related to Indonesia in English, you can check Newsnow.","Jakarta Capital Region, Indone",False,2022-06-22 23:06:10,"To win island-wide conservation, Indonesia’s Talaud bear cuscus needs to win hearts https://t.co/H1QYKnZfwx",,dlvr.it,3
283,AgriFood Tech News,"Peeking at the future of food. 
#agtech #agritech #foodtech #agriculture",London | Singapore | Austin,False,2022-06-22 23:00:33,"To win island-wide conservation, Indonesia’s Talaud bear cuscus needs to win hearts https://t.co/QqRRtxyFCY",,WordPress.com,0
284,Caspar Henderson,"The Book of Barely Imagined Beings, A New Map of Wonders, A Book of Noises. I'm not left handed either","Oxford, England",False,2022-06-22 21:47:12,Did not know until this moment of the existence of the Talaud bear cuscus of Salibabu. Glad to learn at the same time that some people are trying to protect it from extinction https://t.co/tq0XKHIDUf,,Twitter for iPhone,1
285,Sean Mowbray,"Writer. #Environment, #conservation and #ancienthistory",,False,2022-06-22 19:10:09,"Conservation group Progres Sulawesi is spearheading a community-based program to protect the little-known Talaud bear cuscus across the island of Salibabu, which it hopes can serve as a stronghold for the tree-dwelling animal. 

Latest for @mongabay 

https://t.co/84pYUgsQlW",,Twitter Web App,25
286,Bearing Witness for Ecology etc. by Big Earth Data,Curated real #ecology #climate #environment #russiawar #humanrights #water #ocean #forest #indigenous #renewable #protest #AI #ESG #space #science #peace news,New York City,False,2022-06-22 17:18:23,"To win island-wide conservation, Indonesia's Talaud bear cuscus needs to win hearts: Mongabay https://t.co/mTAjAzwwnF 

MORE w/ EcoSearch: https://t.co/uukRfHvSu0",,BigEarthData EcoSearch,0
287,Aleesah Darlison,Award-Winning Author of Over 50 Books I Writing Tutor I Guest Speaker I  Creator of the Endangered Animal Tales Series | Creator of the League of Llamas Series,"Sunshine Coast, Queensland",False,2022-06-23 10:23:45,"@DYMOCKSINDRO are always so supportive of authors &amp; they stock all of my books. It was great to pop in today to sign copies of Banjo, the Woylie with Bounce. Hope u can grab a copy for your littlies!   #aleesahdarlison #endangeredanimaltales #puffinkidsaus #dymocksindooroopilly https://t.co/n908MBSdRK",,Twitter for iPhone,0
288,Eddy Cannella,"Not a misanthrope, but it's becoming an increasingly attractive lifestyle choice.",Perth,False,2022-06-15 22:28:21,"@Wild_Gramps I've had some success using soft cages (built to spec) for woylie. They seem to prefer them to wire cages (also stops them from injuring themselves as much). I use a standards mix + vegemite, fish though someone jokingly suggested truffle oil given their connoisseur tastes.",,TweetDeck,0
289,Marcel Cardillo,"Professor, Australian National University. Macroevolution, macroecology, biogeography, biodiversity, conservation.",Canberra,False,2022-06-14 06:23:15,@EuanRitchie1 *Woylie*,,Twitter Web App,0
290,Larry the Librarian,Manager of a joint use Public/Education Library: Reading; Libraries; information; education; opinions (are my own) 🌈 pictures of Poppy,Western Australia ,False,2022-06-14 02:41:06,Woylie https://t.co/H5WjiyvGan,,Twitter for Android,0
291,"facts homie (science, history, math, animal, food)","facts, homie",,False,2022-06-20 05:34:53,"It is thought Tenkile (Dendrolagus scottae) feeds on vines including Scaveola and Tetracera species, epiphytic ferns and leaves from various forest plants. https://t.co/k5zX0lvC7V",,Twitter for iPhone,0
292,"facts homie (science, history, math, animal, food)","facts, homie",,False,2022-06-20 05:33:04,"Tenkile (Dendrolagus scottae) are a listed critically endangered species with a population decline suspected to be 90% or more over the last three generations, which in this species is a period of 30 years. https://t.co/LHAp5094r3",,Twitter for iPhone,0
293,🐾Obscure Animal Of The Day🐾,"daily cool, cute, and obscure animals from around the world! ✧ submissions are open ✧ i do not own any of the images posted on this account ✧",,False,2022-06-19 16:46:23,"Unfortunately tenkiles are critically endangered, and are mainly threatened by habitat loss, poaching, as well as the illegal pet trade. If you’d like to help with their conservation, as well as conservation in Papua New Guinea, consider donating. 
https://t.co/9wwFlgN4P9",,Twitter for iPad,13
294,🐾Obscure Animal Of The Day🐾,"daily cool, cute, and obscure animals from around the world! ✧ submissions are open ✧ i do not own any of the images posted on this account ✧",,False,2022-06-19 16:44:10,Today’s obscure animal of the day is the tenkile! These terrific tree kangaroos are only found in the Torricelli mountain range in Papua New Guinea! They forage for the various plants they eat both in the trees and the ground. They are also able to walk on their hind legs! https://t.co/JDeQkh9SVz,,Twitter for iPad,108
295,Tenkile,"Conservation, Biodiversity, Tree Kangaroos, Papua New Guinea,Torricelli's, community development, sustainable living, grassroots, NGO, research, water supply.",Papua New Guinea & Australia,False,2022-06-16 09:15:20,@EuanRitchie1 Saltwater crocodiles,,Twitter for iPhone,0
296,Rosemary Storey,,,False,2022-06-22 22:21:50,"@LeadbeatersPoss ""There’s hope for the future of one of Victoria’s critically endangered state emblems following the breakthrough breeding success of the Highland Leadbeater’s Possum."" Their future in zoos or are there serious plans to protect habitat as well?",,Twitter Web App,0
297,Friends of Leadbeater’s Possum Inc. 🌳,"Advocating for the critically endangered Leadbeater's Possum. Key threats: Federal Govt inaction, State Govt logging & bushfire. RT’s are not endorsements.",Cambarville Victoria AUS,False,2022-06-22 21:44:20,"Friends of the Leadbeater's Possum grateful for the success of captive bred joeys…. but major issues remain incl. current unscientific 200m #LbPBuffer, leaving Leadie populations isolated and fragmented #SpringSt #WhereIsOurRecoveryPlan  https://t.co/pk4IQze99G",,Twitter for iPhone,9
298,Renee Wood (Arndt),"Star Mail Editor @starmailnews 
previously WIN News Shep Bureau Chief 
📝 anything to share? - renee.wood@starnewsgroup.com.au","Healesville, Victoria",False,2022-06-22 04:52:34,The breakthrough of a successful breeding program for the Leadbeater's Possum has given hope for the future of the critically endangered species. @StarMailNews https://t.co/tnuifwK3SK,,Twitter Web App,1
299,smuttysmutwriter,"yeah. I wrote that fic on Ao3. she/her, mid 30’s, 18+ only, may be NSFW, will always have bad opinions. Star Trek content mostly these days. join your union.",The Freak Kingdom ,False,2022-06-20 23:53:34,"@Trillion_Grams God I knooooow!!! So cute! I can almost hear it’s little ‘mlem mlem mlem’ noises. It’s a Leadbeater’s Possum, they’re very endangered",,Twitter for iPhone,0
300,"Victor Perton, Radical Optimist 🌻 😊","Radical Optimist. Chief Optimism Officer @centre4optimism. Author @Case4Optimism. @YVWater's Chair of Leadership, Culture and Diversity LeadersCommittee. Water.","Melbourne, Australia",False,2022-06-20 22:40:24,"Good News: First time in 20 years the endangered Leadbeater’s #Possum has been born in captivity @ZoosVictoria in #Healesville - a breeding breakthrough due to #diet and animal husbandry changes.

https://t.co/IlZ5KTrs6g

Thanks 4 the update @LilyDAmbrosioMP: #optimism always 😊 https://t.co/FESNx341rd","[{'text': 'Possum', 'indices': [62, 69]}]",Twitter Web App,6
301,Skylin,#Vegan Antispeciesist. Bat-friendly #StopKillingKangaroos #EutanasiaLegale #NoGreyhoundRacing #ReuniteTheParthenon  Ethos anthropo daimon. Heraclitus. Italy,,False,2022-06-22 11:37:17,Help us conserve the northern hairy-nosed wombat - Australian Geographic https://t.co/fZszVW1cJm #WombatWednesday,"[{'text': 'WombatWednesday', 'indices': [97, 113]}]",Twitter Web App,5
302,Skylin,#Vegan Antispeciesist. Bat-friendly #StopKillingKangaroos #EutanasiaLegale #NoGreyhoundRacing #ReuniteTheParthenon  Ethos anthropo daimon. Heraclitus. Italy,,False,2022-06-22 11:36:21,https://t.co/kniUepowaM Your donation will help Wildlife Recovery Australia activate more predator-proof sanctuaries $ endangered species like WOMBAT &amp; will also assist The Wombat F/tion in its support of the conservation efforts of Dr. A. Horsup &amp; his volunteers #WombatWednesday,,Twitter Web App,1
303,Mel dawson,"The idea of a 'natural right' is to preserve life, not kill it. There is optimisim in conservation. #EnvironmentalJustice. #OneHealth #OnePlanet #RightsofNature",Boon Wurrung/Bunurong Country ,False,2022-06-22 05:47:26,"Almost forgot..it's #WombatWednesday!...the northern hairy nosed-wombat is sadly, one of our most endangered marsupials, however. How to support recovery efforts, via Australian Geographic 👇#WildOz #ExtinctionCrisis  https://t.co/bbz5qqzqCV https://t.co/qHq58KjGgv","[{'text': 'WombatWednesday', 'indices': [20, 36]}]",Twitter for Android,30
304,#BelfastHour,#BelfastHour is a hashtag set up for businesses from all over NI to network. Every Thursday on Twitter 9pm - 10pm since 2014 - hosted by @Edwardsandco_,"Belfast, Northern Ireland ",False,2022-06-23 09:55:00,Glider: North and South Belfast business case 'well advanced' https://t.co/mN234855Vj from @BelfastLive #Belfast #BelfastHour #LoveHighRiseNI,"[{'text': 'Belfast', 'indices': [104, 112]}]",TweetDeck,0
305,Green Party NI,The Green Party in Northern Ireland aims to bring grassroots democracy and social justice to all.,Northern Ireland,False,2022-06-21 13:09:08,"Cllr @oharamal who shaped @belfastcc response is hopeful @deptinfra will listen to the political will of the council regarding;

➡️Extend to Carryduff &amp; Glengormely
🚌Bus priority along considered routes
🚗Residential parking schemes 
🌱Living Rooves 

https://t.co/kBM1iFF0vl",,Twitter Web App,6
306,Paula Bradshaw MLA,Alliance Party MLA for South Belfast. Deputy Chief Whip. Health Spokesperson and lead on Social Justice and Human Rights issues.,Belfast,True,2022-06-21 09:30:00,"""Any plans that would see the Glider terminate at Cairnshill Park &amp; Ride would be short-sighted and would fail to address the scale of change that is needed to address the climate crisis,"" as I told @BelfastLive.

https://t.co/3svAhdxwRy",,Twitter Web App,1
307,Belfast Live,"Your home for breaking news, unbeatable sport and all the latest craic in Belfast. Got a story? Get in touch!",Belfast,True,2022-06-21 09:00:03,"""This is not the pace of change that is needed in a climate emergency"" https://t.co/AS4wjro6Oy",,TweetDeck,0
308,Shauna Corr,Environment correspondent @IrishMirror @MirrorNI @IsFearrAnStar @BelfastLive @buzzdotie @corkbeo @DublinLive @GalwayBeoOnline 📇 https://t.co/hur0jmCoib,Ireland,True,2022-06-20 21:22:33,Latest on the north-south #Glider routes  https://t.co/4EovMwPlmH,"[{'text': 'Glider', 'indices': [26, 33]}]",Twitter for iPhone,0
309,Belfast Live,"Your home for breaking news, unbeatable sport and all the latest craic in Belfast. Got a story? Get in touch!",Belfast,True,2022-06-20 21:15:00,"The business case for Glider routes to North and South Belfast is now at an ""advanced stage"", according to Northern Ireland transport chiefs.
https://t.co/AS4wjro6Oy",,TweetDeck,0
310,Johan,ZX81 to PS4 in thirty not so easy years. Strategy games i am yer man,Newtownabbey,False,2022-06-15 22:09:39,Translink inspector 'hit over head with bottle after glider ticket row' https://t.co/DAPsMXHYEu,,Twitter for iPhone,1
311,Belfast Telegraph,"Northern Ireland news, sport, features, opinion and debate #tellitlikeitis","Belfast, Northern Ireland",True,2022-06-15 15:26:15,"The Translink employee was repeatedly punched and spat on and hit on the head with a bottle, needing 11 stitches.

https://t.co/wJ3H9JA5a1",,TweetDeck,0
312,Jules Morris #ALF #AnimalsMatter,"WTF! Mad F1 fanatic. Lewis Hamilton rules. Live by the sword, die by the sword. Passionate about animals & their welfare. Equality for the future.",UK,False,2022-06-15 18:09:14,#Potaroo #nature #wildlife Gilbert's potoroo or ngilkat is Australia's most endangered marsupial the rarest marsupial in the world and one of the world's rarest critically endangered mammals. It is a small nocturnal macropod that lives in small groups https://t.co/sqBhS8uMYE,"[{'text': 'Potaroo', 'indices': [0, 8]}, {'text': 'nature', 'indices': [9, 16]}, {'text': 'wildlife', 'indices': [17, 26]}]",Twitter for iPhone,0
313,Michael Bayly,"Atheist.  Widower. BBus, Grad DipEd.  Little tact and diplomacy. Preservation of Australia's wildlife and environment my passion.",Ocean Reef WA,False,2022-06-14 13:28:50,@EuanRitchie1 Gilbert's Potoroo successful so far. Extinction avoided. Just.,,Twitter for Android,0
314,Michael Bayly,"Atheist.  Widower. BBus, Grad DipEd.  Little tact and diplomacy. Preservation of Australia's wildlife and environment my passion.",Ocean Reef WA,False,2022-06-14 01:21:05,@EuanRitchie1 Confess I'm ignorant about bats and many other species. Do support Gilbert's Potoroo and numbats.,,Twitter for Android,0
315,Science News,Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.,"Washington, DC",True,2022-06-22 22:30:10,"A small habitat makes the dunnarts especially vulnerable. Since the fires, the Kangaroo Island dunnart is thought to now live in an area about one-tenth of the size of Manhattan. https://t.co/5oLd418OT5",,SocialNewsDesk,12
316,India Education Diary,"One Stop Platform on #Education. Follow Us to know the latest in Indian & Global Education , research, books, literature, academics and education sector news",New Delhi,False,2022-06-22 05:41:23,University of Adelaide: Rare Kangaroo Island dunnart under threat from feral cats https://t.co/vTXCbiyW3G,,WordPress.com,0
317,Science News,Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.,"Washington, DC",True,2022-06-21 10:50:00,"As of 2008, invasive feral cats had contributed to at least 13 percent of extinctions worldwide.  https://t.co/5oLd418OT5",,SocialNewsDesk,19
318,Science News,Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.,"Washington, DC",True,2022-06-20 23:15:06,"In 2019 and 2020, devastating fires burned nearly 10 million hectares of southeastern Australia. The Kangaroo Island dunnart seemed to be one of the few species that defied the odds.  https://t.co/5oLd418OT5",,SocialNewsDesk,3
319,Science News,Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.,"Washington, DC",True,2022-06-20 13:50:00,These tiny marsupials survived wildfires only to face near-extinction from getting eaten by cats. https://t.co/5oLd418OT5,,SocialNewsDesk,15
320,Elemental Soul,Psychic Medium | Crystal Healing | Color Therapy | Art | Photography | Astral Phenomenon | Paranormal Investigation | Aliens ~ UAP/UFO | #ufotwitter |,DMs Invite Only,False,2022-06-19 21:08:41,"The Journey ♾️
These tiny marsupials survived wildfires only to face extinction from feral cats https://t.co/jk5kOVocpn",,Twitter for Android,0
321,Science News,Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.,"Washington, DC",True,2022-06-19 16:00:13,Kangaroo Island dunnarts survived devastating Australian wildfires in 2019 and 2020. Now they risk extinction thanks to feral cats. https://t.co/5oLd418OT5,,SocialNewsDesk,12
322,Science News,Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.,"Washington, DC",True,2022-06-19 14:00:07,"You may be able to hold these tiny marsupials in your palm, but their situation has gotten out of hand.
 https://t.co/5oLd418OT5",,SocialNewsDesk,13
