,user_name,user_description,user_location,user_verification,date,text,hashtags,source,retweets
0,dev's wonderful pet and object ruiner,"bot i made when i was bored
@devwaspog, @devnottaken",44.8553°N 93.2425°W,False,2022-06-19 16:36:33,We put Ellie Goulding's pet shrew (who works as an soldier) and their glass in a feijoa and now they are feeling rushed,,"Cheap Bots, Done Quick!",0
1,Alex LS,"PhD student in ecology, photographer and climber.
Herbivore 🌱
https://t.co/HyZVaQVEiS",,False,2022-06-23 14:17:18,"New paper published about the diet and trophic competition of the Pyrenean desman (Galemys pyrenaicus)! 

You can find in on open access here: https://t.co/mFryghCF65

@IEA_UdG
 #AcademicTwitter #PhD #NewPaper",,Twitter Web App,0
2,Dan Kelly,“Man does not live by golf alone. But he can try!”,"Hopkins, Minnesota, U.S.A.",False,2022-06-18 21:36:21,Who knew? https://t.co/1qVSRg7gyB,,Twitter Web App,0
3,Charlotte Mandell,l'oiseau chante,avec ses doigts.,False,2022-06-18 15:50:24,"I'd never heard of this before:
https://t.co/26qWOVO3F5",,Twitter for Android,0
4,zoe bearcat,"- social justice sentinel - - consulting vetective and ferryman of inle -
- none theism with left yid - - they/them -",haggadah hell,False,2022-06-20 03:59:35,SCREAM ITS A VIDEO OF A SUMATRAN STRIPED RABBIT https://t.co/yf9gtbv5pf,,Twitter for Android,1
5,Parker,Prophet of urban decay. Honus Wagner apologist. Staff writer at @popmatters. he/him. BLM,Triassic period,False,2022-06-23 15:40:46,@JeffreyM_PhD awww. so it looks like the small one is an eastern cottontail bc of the white spot and the big one a new england cottontail bc it doesn't have a white spot there,,Twitter Web App,0
6,"Warm, Friendly Smut","Positive, relaxed horniness. The lewd bot of @grayishknight",Snuggling in the same bed,False,2022-06-20 15:45:19,"Your loving New England cottontail enbyfriend wants to stimulate you intensely, if you want~",,"Cheap Bots, Done Quick!",0
7,濠(ホウ),香港🇭🇰 #藤江れいな 神推し #山本望叶 #佐月愛果,HongKong,False,2022-06-17 11:04:12,Drinking an Extinction Is Forever!: New England Cottontail by @BevogBrewery - https://t.co/vnVlL9sbsw,,Untappd,0
8,UNH Extension,"We strengthen people and communities in NH by providing trusted knowledge, practical education and cooperative solutions. Comments & RT are not endorsements","Durham, NH",False,2022-06-16 21:11:03,"Looking to learn more about the rabbits in NH? This is the eastern cottontail. Today there are more eastern cottontails in New Hampshire than the native New England cottontail!
https://t.co/mA4ZGL7sDC

#rabbit #wildlife #wildlifelover #environment #cottontail #newhampshire https://t.co/60ta1hWhUx",,Sprout Social,0
9,Kness,"Ceramic animals, porcelain jewelry. 🇨🇦
Prints, goodies, Ceramics and original art are available 🦝","Montréal, Québec",False,2022-06-22 02:01:00,"Species list : 
Quetzal, Mapie Goose, Pelican, Okapi, Chousingha, Pacarana, Elephant Shrew, Alligator Turtle, Bush Dog, Aardvark, Echidna, Amami Rabbit, Pig-nosed Turtle, Goblin Shark, Coelacanth, Tuatara, Hoatzin, Platypus Gar, Gavial, Bichir, Pygmy Right Whale, ...",,Twitter Web App,2
10,Vladimir Dinets,I'm a zoologist studying animal behavior and rare animals living in remote parts of the world. I also write popular books about nature and travel.,as variable as I can make it,False,2022-06-19 20:57:49,"Also saw a few rarities (incl. Sody's tree rat, last recorded in 1935) during a micro-extension afterwards, plus got a short stay in Qatar between flights and checked out a couple nice bat caves. I'll post photos and stories from the trip in July once we get back from Iceland.",,Twitter Web App,0
