,user_name,user_description,user_location,user_verification,date,text,hashtags,source,retweets
0,FmWild - Frank,"He/Him I play minecraft since 2015 and I make models using @Blockbench…YouTube:https://t.co/aswCDs8PQb
Planet minecraft:https://t.co/UVRzPXxc4i","Italy, Puglia",False,2022-06-23 15:57:25,"Progress on the Sperm whale, I've made the fluke, the flippers and the dorsal fin 2D, and I've updated the mouth. Any suggestions? https://t.co/VNeME0GacE",,Twitter Web App,1
1,Kimberly Wolf 🏴🏳️‍🌈🏴,Just a big armful of autumn leaves. Writes poems. Reading poetry chapbook submissions for @DefunktMag. Pushcart & Best Microfiction nom 🍂 🍂🍂,"Texas, USA",False,2022-06-23 14:24:01,Also it is so jarring to be reading one of the best sex scenes you’ve ever read in your life only to be yanked out of how hot it is by some line like “he grabbed the whale fin of her hip bone” like I’m sorry he grabbed the WHAT OK WE GET IT SHE IS SICKLY THIN JESUS CHRIST,,Twitter for iPhone,0
2,City of Dover NH,"@CityofDoverNH is the official twitter page of the City of Dover, New Hampshire.","Dover, New Hampshire",False,2022-06-23 13:30:15,"Join the Dover Public Library on Monday, June 27, from 2 to 3 pm for a walk through Ladder, the 65 foot inflatable whale by the Blue Ocean Society. Ladder is modeled after a real fin whale in the Gulf of Maine. This free program will take place in the Dover City Hall auditorium. https://t.co/vDJw8GNBjk",,Hootsuite Inc.,0
3,Tupac Shakur,,,False,2022-06-23 13:09:43,@Marwal_Pes Herbalife only sponsor the Atletico womens team. Mens team will be sponsored by Whale Fin,,Twitter Web App,0
4,OSSIFRAGEBOT,An ill-advised bot that likes zoology and creature design a little too much. - Direct questions/comments/suggestions to @adinfinitam!,,False,2022-06-23 07:48:50,What if it had the colours of a(n) Fin whale?,,"Cheap Bots, Done Quick!",0
5,Lance,hi :) | they/them!,,False,2022-06-23 03:44:43,"@bbqduos @HIVESOOT it kinda looks like a whale or dolphin animal thingy diving into the sea, like the tail fin bit. or could be a dick",,Twitter for iPhone,0
6,Sea Goddess,"Rated #1 Whale Watching central Monterey Bay, located at the mouth of the canyon where whales frequently feed!  All reservations made online. (831) 920-1499","Moss Landing, CA",False,2022-06-23 01:33:23,"6/22- Today we got to watch two mother-calf humpback pairs, as well as one single whale. One of the mothers did an amazing horizontal lunge feed and showed off her pectoral fin.
📸: Jaycee Lanza

#SeaGoddess #SeaGoddessWhaleWatch #TeamSeaGoddess #Whalewatch #whalewatching #whales https://t.co/0sUqyoTQXW",,Twitter for iPhone,0
7,Sam Dunford,"I love science & nature, literature, art, & photography. Blue whales, snakes, and Giant Sequoias are a few of my obsessions. Writing Sci-Fi.","Utah, USA",False,2022-06-23 00:33:37,"@CetologyH Though as I said in the thread, I believe the reason is Winston's whale probably didn't taper away from the maximum girth as fast as Laurie's did, and had a thicker tail region. This is why it would've been helpful if girth in front of the dorsal fin had been provided",,Twitter for Android,0
8,Cetology Hub,"Bachelor of Science in Biology, Cetacean enthusiast, alt account for @callmejoe9. Using this for non-fiction biology discussions and articles.","Virginia, USA",False,2022-06-23 00:25:29,"@SamuelDunford Also, I misreported the mass I got for the Tonsberg whale. I got 180 tonnes from your formula. 170-175 was what I got from adjusting from Lockyer's Sei+fin whale formula.",,Twitter Web App,0
9,Animal Welfare Institute,Official Twitter feed of the Animal Welfare Institute. Dedicated to reducing animal suffering caused by people since 1951.,"Washington, DC",False,2022-06-22 21:06:27,"Current quotas allow for the killing of up to 209 fin whales, the 2nd largest whale species. However, because no whaling took place last year, an additional 42 fin whales may be added to the quota this year. Learn about the history of Icelandic whaling: https://t.co/tz2eDzf8Pz",,Twitter Web App,0
